"","name","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030","2031","2032","2033","2034","2035","2036","2037","2038","2039","2040","2041","2042","2043","2044"
"1","mean.prev.males",0.0447727222469623,0.0510991962681972,0.057644171109889,0.0632911568844804,0.0691117328204233,0.074755552160461,0.080451060732495,0.086006551223843,0.0912087386080645,0.0961990978202886,0.100807242016536,0.105151789795083,0.108740173261978,0.112047686383527,0.114968919630398,0.117320639306246,0.120341024100728,0.123126379236265,0.125604040041966,0.127515205468327,0.128928932276403,0.130694696186063,0.132247273450041,0.133733806573452,0.134714790811351,0.135067698058693,0.135860367668065,0.136382373539721,0.136437644919996,0.135896695756713,0.134730818770179,0.132820329030689,0.130312518820564,0.127342681853662,0.124004721904373,0.120381918986667,0.116751567652585,0.11268012188281,0.108616191196637,0.104573954951256,0.100611818416698,0.096336504812514,0.092011733727303,0.0875941419076544,0.0830231294283651,0.0784573941926768,0.0737461134479566,0.0689662950051995,0.0641884169508053,0.0594385307756173,0.0547263618673333,0.0506517644452586,0.0467627540643677,0.0429086138847865,0.0391090816230265,0.0354128953696613,0.0323468822707646,0.0294143105406689,0.0266231930660407,0.0240181448115974,0.0216524532641661,0.0197833325423536,0.0181355770293282,0.0165829103077227,0.0152686817689094
"2","lb.prev.males",0.0422717964933354,0.0485910039751391,0.0549856916676025,0.0605405692937765,0.06628502101051,0.071857428359129,0.0774676116513177,0.0829402480937876,0.0881262392592101,0.0930708990142049,0.0976291557256727,0.101938338910694,0.105495828943934,0.108804716900521,0.111731110067207,0.114088680534518,0.11710340377463,0.119886760231996,0.122341926554012,0.124246392102165,0.125675892821969,0.127431526084792,0.128972087541241,0.130452770563879,0.131443118829482,0.131805548527886,0.132575492329168,0.133068698644405,0.133122254322031,0.132577218273487,0.131396678397338,0.129482879832349,0.126999038074296,0.12405282943338,0.120751469666376,0.117176311589801,0.113619955002162,0.109631245368659,0.105657704958476,0.101675485526139,0.0977884453014434,0.0935761174566475,0.089334106443946,0.0850004684071702,0.0805283248824651,0.0760652750372848,0.0714639489382875,0.0667878231219526,0.0621162569858381,0.0574739894536566,0.0528635994169448,0.0488929979157987,0.0450963944260205,0.0413400709732398,0.0376527045164401,0.0340585376264507,0.0310777103294321,0.0282332263704684,0.0255354301490889,0.0230225879117164,0.0207412440926794,0.0189373103700708,0.017338080283226,0.0158393973764706,0.0145683803169111
"3","ub.prev.males",0.0472736480005893,0.0536073885612552,0.0603026505521754,0.0660417444751842,0.0719384446303367,0.0776536759617931,0.0834345098136723,0.0890728543538985,0.0942912379569189,0.0993272966263723,0.103985328307399,0.108365240679472,0.111984517580022,0.115290655866532,0.118206729193588,0.120552598077974,0.123578644426825,0.126365998240534,0.128866153529921,0.130784018834489,0.132181971730836,0.133957866287333,0.135522459358841,0.137014842583025,0.13798646279322,0.138329847589501,0.139145243006962,0.139696048435037,0.139753035517961,0.139216173239938,0.138064959143019,0.13615777822903,0.133625999566831,0.130632534273943,0.12725797414237,0.123587526383532,0.119883180303009,0.11572899839696,0.111574677434797,0.107472424376374,0.103435191531953,0.0990968921683804,0.09468936101066,0.0901878154081386,0.0855179339742652,0.0808495133480687,0.0760282779576258,0.0711447668884465,0.0662605769157725,0.061403072097578,0.0565891243177218,0.0524105309747185,0.048429113702715,0.0444771567963332,0.040565458729613,0.036767253112872,0.033616054212097,0.0305953947108695,0.0277109559829924,0.0250137017114784,0.0225636624356529,0.0206293547146365,0.0189330737754305,0.0173264232389747,0.0159689832209078
"4","mean.prev.females",0.045949115030973,0.0544837170413031,0.0633078374491954,0.071891698386754,0.0800937787241228,0.0882283844101167,0.0960520663704525,0.103575358056085,0.110686599657888,0.117515694641224,0.123550563679764,0.129708349010793,0.134910044632609,0.139627808392556,0.143880008485938,0.147504077460105,0.151818638258452,0.155920598623683,0.159318268620956,0.161916099239948,0.164019149490817,0.166223316413443,0.168235610582163,0.170176337389328,0.171680510276683,0.172734757817172,0.174463377183984,0.17623223798094,0.17769104073315,0.178866303850934,0.179596438848419,0.180196775377398,0.18030749248316,0.179730163294669,0.17840818831593,0.176402512158321,0.174007452348469,0.170928207875438,0.167214298634803,0.163118670298015,0.158810545755691,0.15379518183804,0.148538797153123,0.143058167202507,0.137506861209658,0.131760272656279,0.125609813586674,0.119442026316648,0.113255131886877,0.106978840033144,0.100677379545973,0.0952504249593337,0.0899392209083848,0.0845298045729745,0.0790915728686695,0.0736753449228844,0.06895244776127,0.0643954109119526,0.0598810020494051,0.0555048072026295,0.0512282098406587,0.0476449977265762,0.0442733456170709,0.0410736779580096,0.0380159961833473
"5","lb.prev.females",0.0434435801898724,0.0518176555431115,0.06045721073375,0.0688792409035879,0.0769540985317507,0.0849383682051489,0.0926732132508855,0.100107200139062,0.107149072140479,0.113902886817645,0.119839813479365,0.125953286750077,0.131088885217277,0.135761702771682,0.139963589530142,0.143544406503347,0.1478320917283,0.151911551432721,0.155252892414048,0.157820357018432,0.159899689398661,0.162118029485504,0.164126831756031,0.166029740314392,0.16751510842643,0.168558949324708,0.170246516166449,0.17196448603954,0.173401464813491,0.174543375686916,0.175233645836693,0.175803819296841,0.175881886391523,0.175289264471929,0.173953438325909,0.171960117612364,0.169584543893183,0.166542856870095,0.162886120638395,0.158850895820595,0.154605682329995,0.149694808477127,0.144540718931076,0.13916599241907,0.133715172192916,0.12807104552107,0.12205184205005,0.116016494086391,0.109955569060582,0.103808244529402,0.0976238328155913,0.0923096630725894,0.087106092002406,0.0818069122130304,0.0764870951015326,0.0711804823710333,0.0665591055870199,0.062108722275572,0.0576951024757919,0.0534263839550355,0.0492638708054916,0.0457608820744122,0.0424795870627483,0.0393602893951425,0.0363891806064907
"6","ub.prev.females",0.0484546498720737,0.0571497785394946,0.0661584641646407,0.0749041558699202,0.083233458916495,0.0915184006150845,0.0994309194900195,0.107043515973109,0.114224127175297,0.121128502464804,0.127261313880164,0.13346341127151,0.138731204047942,0.14349391401343,0.147796427441734,0.151463748416863,0.155805184788605,0.159929645814644,0.163383644827863,0.166011841461465,0.168138609582973,0.170328603341382,0.172344389408294,0.174322934464263,0.175845912126937,0.176910566309636,0.178680238201519,0.180499989922339,0.18198061665281,0.183189232014952,0.183959231860145,0.184589731457954,0.184733098574797,0.184171062117409,0.18286293830595,0.180844906704277,0.178430360803754,0.175313558880782,0.17154247663121,0.167386444775436,0.163015409181386,0.157895555198953,0.15253687537517,0.146950341985944,0.141298550226399,0.135449499791489,0.129167785123299,0.122867558546905,0.116554694713173,0.110149435536886,0.103730926276355,0.0981911868460779,0.0927723498143636,0.0872526969329185,0.0816960506358063,0.0761702074747356,0.0713457899355202,0.0666820995483331,0.0620669016230183,0.0575832304502235,0.0531925488758258,0.0495291133787403,0.0460671041713935,0.0427870665208768,0.039642811760204
"7","mean.prev.all",0.0453704027472483,0.0528154888240204,0.0605146305553352,0.0676507541329226,0.0746810412078075,0.0815906443556424,0.0883659797502661,0.0949208344753166,0.101093515099866,0.107013492140535,0.112343173741174,0.11760406201193,0.122000483535544,0.126017014147876,0.129602386536315,0.132582242651102,0.13623991094936,0.139673745690949,0.142599568592031,0.144840982782222,0.146584612954106,0.14855294820483,0.150317736946567,0.152017960219518,0.153246055178446,0.15393860225073,0.155188939782309,0.156331924208923,0.157085639598156,0.157404749342705,0.157192701390873,0.156544890125079,0.155360690510597,0.153602130797698,0.151293289600902,0.148502361797001,0.145506671591612,0.141954376644181,0.138079951534521,0.134023208202101,0.129894732978911,0.125254842297264,0.120466215652024,0.115521171604941,0.11046701706834,0.105314263037065,0.0998850705428081,0.0944116776654858,0.088930168822412,0.0834123227266902,0.0779025298457192,0.0731492455653578,0.0685460271808365,0.0639066357720562,0.0592805040258743,0.0547167815367937,0.0508150012905586,0.0470635350350761,0.0434038699620469,0.0399052071610964,0.0365763163374086,0.0338430580480929,0.0313249822068769,0.028942746730947,0.026749150932999
"8","lb.prev.all",0.042908702578066,0.0502672883986082,0.0577978755140948,0.0648014279461849,0.0717251117165112,0.0785274755131948,0.0852173577642912,0.0916885737899212,0.0978198259986203,0.10368162976292,0.108940136448479,0.114165233899245,0.118516623474817,0.122512640550292,0.126080837200991,0.129043883564355,0.132686833344662,0.136112761174472,0.139005754306886,0.14123114488861,0.142978227993303,0.144953152430821,0.14671337325005,0.148391483447929,0.149619529489526,0.15030992012952,0.151529883298008,0.152632498193578,0.15337527740141,0.153673942599613,0.153435723604283,0.152769153193547,0.151583376598123,0.149826645770822,0.147528594457398,0.144767967773384,0.141821477030137,0.138325400690238,0.134522159162744,0.130523581834616,0.12645856553833,0.121896947857197,0.117196000663284,0.112339486573971,0.107378201816836,0.10232328585101,0.0970088222875018,0.0916502295347951,0.0862790692125989,0.0808759451195274,0.0754735541042328,0.0708252054411956,0.0663209000810871,0.0617831116729636,0.0572686989511219,0.0528077319428362,0.0489976209741293,0.0453419173775992,0.0417787166392825,0.0383781288619318,0.0351475603325441,0.0324868848979409,0.0300380237177068,0.027722249325479,0.0255928950549437
"9","ub.prev.all",0.0478321029164306,0.0553636892494326,0.0632313855965756,0.0705000803196603,0.0776369706991039,0.0846538131980901,0.0915146017362411,0.098153095160712,0.104367204201112,0.11034535451815,0.115746211033868,0.121042890124615,0.125484343596271,0.129521387745461,0.133123935871639,0.136120601737849,0.139792988554057,0.143234730207425,0.146193382877176,0.148450820675834,0.15019099791491,0.152152743978839,0.153922100643085,0.155644436991107,0.156872580867366,0.157567284371941,0.158847996266609,0.160031350224268,0.160796001794902,0.161135556085796,0.160949679177462,0.160320627056611,0.15913800442307,0.157377615824575,0.155057984744405,0.152236755820618,0.149191866153087,0.145583352598125,0.141637743906298,0.137522834569587,0.133330900419493,0.12861273673733,0.123736430640763,0.118702856635912,0.113555832319843,0.10830524022312,0.102761318798114,0.0971731257961766,0.091581268432225,0.0859487003338531,0.0803315055872056,0.0754732856895199,0.070771154280586,0.0660301598711488,0.0612923091006267,0.0566258311307513,0.0526323816069878,0.048785152692553,0.0450290232848113,0.041432285460261,0.0380050723422732,0.0351992311982448,0.0326119406960469,0.030163244136415,0.0279054068110544
"10","mean.ARTcoverage.males",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00967074182090566,0.0151412085776924,0.024537336102347,0.0391156165890257,0.0573269798849282,0.0793200339695923,0.106122003005983,0.140412420137883,0.196912697477202,0.266288657509054,0.339028934769081,0.421369174302412,0.494339186276487,0.552608860036079,0.614376836740066,0.707553425352841,0.767304288405384,0.807201283555911,0.831824053324417,0.847176369332859,0.85726924961038,0.863650679919601,0.868486123270024,0.871666516458801,0.874443492555614,0.876702413340913,0.877731088784298,0.878757990907594,0.880467490414997,0.881427456172631,0.882166047489833,0.88298622635189,0.884245220942346,0.885220066794092,0.885287362219079,0.885644735227205,0.88699399590791,0.887727775632438,0.888823647212197,0.890007960588138,0.890266723347916,0.891757575180334,0.892751836424448
